Project/Case,Attempt,Passed,Failed,Errors,Pass Rate,Raw Summary
case_011,2/3,2,5,0,28.57%,"5 failed, 2 passed in 0.19s"
case_011,3/3,2,5,0,28.57%,"5 failed, 2 passed in 0.19s"
case_012,1/3,7,2,0,77.78%,"2 failed, 7 passed in 0.19s"
case_012,2/3,2,7,0,22.22%,"7 failed, 2 passed in 0.20s"
case_012,3/3,2,7,0,22.22%,"7 failed, 2 passed in 0.20s"
case_013,1/3,5,3,0,62.50%,"3 failed, 5 passed in 0.23s"
case_013,2/3,5,3,0,62.50%,"3 failed, 5 passed in 0.23s"
case_013,3/3,5,3,0,62.50%,"3 failed, 5 passed in 0.22s"
case_014,Baseline,5,0,0,100.00%,5 passed in 0.07s
case_015,1/3,5,2,0,71.43%,"2 failed, 5 passed in 0.28s"
case_015,2/3,5,2,0,71.43%,"2 failed, 5 passed in 0.23s"
case_015,3/3,5,2,0,71.43%,"2 failed, 5 passed in 0.23s"
case_016,Baseline,6,9,0,40.00%,"9 failed, 6 passed in 0.23s"
case_017,1/3,8,2,0,80.00%,"2 failed, 8 passed in 0.31s"
case_017,2/3,2,8,0,20.00%,"8 failed, 2 passed in 0.35s"
case_017,3/3,8,2,0,80.00%,"2 failed, 8 passed in 0.29s"
case_018,1/3,4,4,0,50.00%,"4 failed, 4 passed in 0.20s"
case_018,2/3,5,3,0,62.50%,"3 failed, 5 passed in 0.21s"
case_018,3/3,5,3,0,62.50%,"3 failed, 5 passed in 0.18s"
case_019,1/3,0,0,1,0.00%,1 error in 0.30s
case_019,2/3,0,7,0,0.00%,7 failed in 1.33s
case_019,3/3,0,0,1,0.00%,1 error in 0.28s
case_020,1/3,4,3,0,57.14%,"3 failed, 4 passed in 0.20s"
case_020,2/3,4,3,0,57.14%,"3 failed, 4 passed in 0.21s"
case_020,3/3,4,3,0,57.14%,"3 failed, 4 passed in 0.18s"
case_021,Baseline,6,0,0,100.00%,6 passed in 0.08s
case_022,1/3,4,5,0,44.44%,"5 failed, 4 passed in 0.42s"
case_022,2/3,4,5,0,44.44%,"5 failed, 4 passed in 0.43s"
case_022,3/3,4,5,0,44.44%,"5 failed, 4 passed in 0.39s"
case_023,1/3,2,6,0,25.00%,"6 failed, 2 passed in 0.22s"
case_023,2/3,5,3,0,62.50%,"3 failed, 5 passed in 0.19s"
case_023,3/3,3,5,0,37.50%,"5 failed, 3 passed in 0.23s"
case_024,1/3,11,3,0,78.57%,"3 failed, 11 passed in 0.24s"
case_024,2/3,3,11,0,21.43%,"11 failed, 3 passed in 0.34s"
case_024,3/3,3,11,0,21.43%,"11 failed, 3 passed in 0.26s"
case_025,1/3,5,4,0,55.56%,"4 failed, 5 passed in 0.23s"
case_025,2/3,5,4,0,55.56%,"4 failed, 5 passed in 0.22s"
case_025,3/3,5,4,0,55.56%,"4 failed, 5 passed in 0.19s"
case_026,1/3,3,3,0,50.00%,"3 failed, 3 passed in 0.26s"
case_026,2/3,4,2,0,66.67%,"2 failed, 4 passed in 0.25s"
case_026,3/3,3,3,0,50.00%,"3 failed, 3 passed in 0.19s"
case_027,1/3,6,2,0,75.00%,"2 failed, 6 passed, 1 skipped in 0.33s"
case_027,2/3,6,2,0,75.00%,"2 failed, 6 passed, 1 skipped in 0.29s"
case_027,3/3,6,2,0,75.00%,"2 failed, 6 passed, 1 skipped in 0.31s"
case_028,1/3,3,2,0,60.00%,"2 failed, 3 passed in 0.25s"
case_028,2/3,5,0,0,100.00%,5 passed in 0.16s
case_029,1/3,0,0,1,0.00%,1 error in 0.53s
case_029,2/3,0,6,0,0.00%,6 failed in 0.75s
case_029,3/3,0,0,1,0.00%,1 error in 0.50s
case_030,1/3,0,0,1,0.00%,1 error in 0.55s
case_030,2/3,0,6,0,0.00%,6 failed in 0.47s
case_030,3/3,0,0,1,0.00%,1 error in 0.50s
case_031,1/3,0,0,1,0.00%,1 error in 0.28s
case_031,2/3,0,0,1,0.00%,1 error in 0.33s
case_031,3/3,4,1,0,80.00%,"1 failed, 4 passed in 0.26s"
case_032,1/3,0,0,1,0.00%,1 error in 0.28s
case_032,2/3,4,2,0,66.67%,"2 failed, 4 passed in 0.24s"
case_032,3/3,0,0,1,0.00%,1 error in 0.33s
case_033,1/3,0,0,1,0.00%,1 error in 0.53s
case_033,2/3,4,2,0,66.67%,"2 failed, 4 passed in 0.42s"
case_033,3/3,0,0,1,0.00%,1 error in 0.49s
case_034,1/3,0,0,1,0.00%,1 error in 0.62s
case_034,2/3,0,5,0,0.00%,5 failed in 0.42s
case_034,3/3,0,0,1,0.00%,1 error in 0.52s
case_035,Baseline,7,0,0,100.00%,7 passed in 0.09s
case_036,1/3,0,0,1,0.00%,1 error in 0.28s
case_036,2/3,0,5,0,0.00%,5 failed in 0.45s
case_036,3/3,0,0,1,0.00%,1 error in 0.28s
case_037,1/3,0,9,0,0.00%,9 failed in 0.27s
case_037,2/3,7,2,0,77.78%,"2 failed, 7 passed in 0.21s"
case_037,3/3,0,9,0,0.00%,9 failed in 0.24s
case_038,1/3,6,3,0,66.67%,"3 failed, 6 passed in 0.21s"
case_038,2/3,8,1,0,88.89%,"1 failed, 8 passed in 0.21s"
case_038,3/3,6,3,0,66.67%,"3 failed, 6 passed in 0.20s"
case_039,1/3,6,2,0,75.00%,"2 failed, 6 passed in 0.28s"
case_039,2/3,8,0,0,100.00%,8 passed in 0.12s
case_040,1/3,0,8,0,0.00%,8 failed in 0.70s
case_040,2/3,0,8,0,0.00%,8 failed in 0.76s
case_040,3/3,0,8,0,0.00%,8 failed in 0.69s
case_041,1/3,3,2,0,60.00%,"2 failed, 3 passed in 0.18s"
case_041,2/3,1,4,0,20.00%,"4 failed, 1 passed in 0.19s"
case_041,3/3,3,2,0,60.00%,"2 failed, 3 passed in 0.18s"
case_042,Baseline,6,0,0,100.00%,6 passed in 0.08s
case_043,Baseline,10,0,0,100.00%,10 passed in 0.09s
case_044,Baseline,6,0,0,100.00%,6 passed in 0.07s
case_045,Baseline,12,1,0,92.31%,"1 failed, 12 passed in 0.21s"
case_046,Baseline,6,0,0,100.00%,6 passed in 0.07s
case_047,1/3,2,4,0,33.33%,"4 failed, 2 passed in 0.22s"
case_047,2/3,4,2,0,66.67%,"2 failed, 4 passed in 0.17s"
case_047,3/3,3,3,0,50.00%,"3 failed, 3 passed in 0.19s"
case_048,1/3,0,5,0,0.00%,5 failed in 0.57s
case_048,2/3,3,2,0,60.00%,"2 failed, 3 passed in 0.60s"
case_048,3/3,0,5,0,0.00%,5 failed in 0.54s
case_049,1/3,0,10,0,0.00%,10 failed in 1.00s
case_049,2/3,0,10,0,0.00%,10 failed in 1.02s
case_049,3/3,0,10,0,0.00%,10 failed in 0.91s
case_050,1/3,0,0,1,0.00%,1 error in 0.60s
case_050,2/3,0,0,1,0.00%,1 error in 0.85s
case_050,3/3,0,0,1,0.00%,1 error in 1.01s
case_051,1/3,8,0,0,100.00%,8 passed in 0.15s
case_052,Baseline,6,0,0,100.00%,6 passed in 0.11s
case_053,1/3,3,2,0,60.00%,"2 failed, 3 passed in 0.47s"
case_053,2/3,3,2,0,60.00%,"2 failed, 3 passed in 0.24s"
case_053,3/3,3,2,0,60.00%,"2 failed, 3 passed in 0.45s"
case_054,1/3,3,2,0,60.00%,"2 failed, 3 passed in 0.20s"
case_054,2/3,3,2,0,60.00%,"2 failed, 3 passed in 0.19s"
case_054,3/3,0,5,0,0.00%,5 failed in 0.20s
case_055,Baseline,0,5,0,0.00%,5 failed in 0.19s
case_056,1/3,3,6,0,33.33%,"6 failed, 3 passed in 0.30s"
case_056,2/3,4,5,0,44.44%,"5 failed, 4 passed in 0.33s"
case_056,3/3,3,6,0,33.33%,"6 failed, 3 passed in 0.27s"
case_057,1/3,18,2,0,90.00%,"2 failed, 18 passed in 0.56s"
case_057,2/3,18,2,0,90.00%,"2 failed, 18 passed in 0.68s"
case_057,3/3,20,0,0,100.00%,20 passed in 0.53s
case_058,1/3,0,0,1,0.00%,1 error in 0.32s
case_058,2/3,1,5,0,16.67%,"5 failed, 1 passed in 0.71s"
case_058,3/3,0,0,1,0.00%,1 error in 0.28s
project_001_sqli,1/3,3,3,0,50.00%,"3 failed, 3 passed in 0.24s"
project_001_sqli,2/3,3,3,0,50.00%,"3 failed, 3 passed in 0.23s"
project_001_sqli,3/3,3,3,0,50.00%,"3 failed, 3 passed in 0.23s"
project_002_cmdi,Baseline,2,6,0,25.00%,"6 failed, 2 passed in 0.33s"
project_002_cmdi,1/3,12,0,0,100.00%,12 passed in 0.12s
project_002_cmdi,1/3,5,0,0,100.00%,5 passed in 0.08s
project_003_path_traversal,Baseline,3,2,0,60.00%,"2 failed, 3 passed in 0.33s"
project_003_path_traversal,Baseline,4,3,0,57.14%,"3 failed, 4 passed in 0.22s"
project_003_path_traversal,Baseline,5,0,0,100.00%,5 passed in 0.07s
